utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T11:11:45.4256052Z,sustained,2820.9,24780,24780,0,0,0,0,0,0,416266,220413952,99155968,36003240,1498320,10,0,0
2026-09-15T11:12:45.4476639Z,sustained,2881.0,25227,25227,0,0,0,0,0,0,418021,215072768,93892608,36193576,1498320,8,0,0
2026-09-15T11:13:45.4568843Z,sustained,2941.0,25673,25673,0,0,0,0,0,0,418235,217616384,96387072,36545608,1498320,3,0,0
2026-09-15T11:14:45.4681680Z,sustained,3001.0,26120,26120,0,0,0,0,0,0,415481,220516352,99360768,36196352,1498320,4,0,0
2026-09-15T11:15:45.4817273Z,sustained,3061.0,26568,26568,0,0,0,0,0,0,416937,220483584,99311616,36016904,1498320,3,0,0
2026-09-15T11:16:45.4948255Z,sustained,3121.0,27016,27016,0,0,0,0,0,0,421017,220553216,99397632,37609224,1498320,5,0,0
2026-09-15T11:17:45.5133816Z,sustained,3181.0,27463,27463,0,0,0,0,0,0,417288,220901376,99745792,36097800,1498320,4,0,0
2026-09-15T11:18:45.5281317Z,sustained,3241.0,27909,27909,0,0,0,0,0,0,416084,220872704,99704832,36009528,1498320,4,0,0
2026-09-15T11:19:45.5487610Z,sustained,3301.1,28355,28355,0,0,0,0,0,1,416565,217399296,96133120,36083744,1498320,6,0,0
2026-09-15T11:20:45.5696703Z,sustained,3361.1,28800,28800,0,0,0,0,0,0,416775,219418624,98263040,36091480,1498320,4,0,0
2026-09-15T11:21:45.5888644Z,sustained,3421.1,29246,29246,0,0,0,0,0,0,418668,219451392,98312192,36158152,1498320,3,0,0
2026-09-15T11:22:45.6119391Z,sustained,3481.1,29694,29694,0,0,0,0,0,0,419204,219570176,98361344,36110472,1498320,3,0,0
2026-09-15T11:23:45.6224228Z,sustained,3541.1,30140,30140,0,0,0,0,0,0,418161,219533312,98271232,35974376,1498320,3,0,0
2026-09-15T11:24:45.6418604Z,sustained,3601.2,30639,30639,0,0,0,0,0,1,465878,224522240,103616512,35974376,1498320,4,0,0
2026-09-15T11:25:45.6622325Z,sustained,3661.2,34217,34217,0,0,0,0,0,0,3285826,217341952,95780864,36132632,1498320,35,0,0
2026-09-15T11:26:45.6751907Z,sustained,3721.2,34663,34663,0,0,0,0,0,0,414746,217427968,95698944,36147888,1498320,3,0,0
2026-09-15T11:27:45.6883765Z,sustained,3781.2,35110,35110,0,0,0,0,0,1,421856,220102656,98476032,36195768,1498320,3,0,0
2026-09-15T11:28:45.6967858Z,sustained,3841.2,35557,35557,0,0,0,0,0,0,417737,221544448,99876864,39214464,1498320,3,0,0
2026-09-15T11:29:45.7174756Z,sustained,3901.2,36003,36003,0,0,0,0,0,0,416499,220999680,99344384,38430960,1498320,3,0,0
2026-09-15T11:30:45.7370319Z,sustained,3961.2,36449,36449,0,0,0,0,0,0,416272,220995584,99340288,36206128,1498320,4,0,0
2026-09-15T11:31:45.7507999Z,sustained,4021.3,36896,36896,0,0,0,0,0,0,415043,221540352,99872768,36095928,1498320,3,0,0
2026-09-15T11:32:45.7684048Z,sustained,4081.3,37343,37343,0,0,0,0,0,0,418935,221573120,99921920,36139568,1498320,4,0,0
2026-09-15T11:33:45.7799799Z,sustained,4141.3,37791,37791,0,0,0,0,0,0,421054,221597696,99913728,36931864,1498320,4,0,0
2026-09-15T11:34:45.8043084Z,sustained,4201.3,38237,38237,0,0,0,0,0,0,420195,221573120,99917824,36300696,1498320,3,0,0
2026-09-15T11:35:45.8156061Z,sustained,4261.3,38683,38683,0,0,0,0,0,0,414709,221511680,99823616,36438608,1498320,2,0,0
2026-09-15T11:36:45.8285251Z,sustained,4321.3,39131,39131,0,0,0,0,0,0,423052,221540352,99872768,40260456,1498320,4,0,0
2026-09-15T11:37:45.8425559Z,sustained,4381.4,39578,39578,0,0,0,0,0,0,416552,222990336,101261312,37090856,1498320,3,0,0
2026-09-15T11:38:45.8572474Z,sustained,4441.4,40027,40026,1,0,0,0,0,1,424369,223141888,101744640,37326336,1498320,3,0,0
2026-09-15T11:39:45.8735143Z,sustained,4501.4,40542,40542,0,0,0,0,0,0,481796,222928896,101515264,37936816,1498320,4,0,0
2026-09-15T11:40:45.8937024Z,sustained,4561.4,44106,44106,0,0,0,0,0,0,3272818,222502912,101093376,38460544,1498320,29,0,0
2026-09-15T11:41:45.9054701Z,sustained,4621.4,44550,44550,0,0,0,0,0,0,415481,217825280,96288768,30895368,1498320,4,1,0
2026-09-15T11:42:45.9222018Z,sustained,4681.4,44996,44996,0,0,0,0,0,0,420213,217735168,96186368,31143960,1498320,4,0,0
2026-09-15T11:43:45.9424969Z,sustained,4741.5,45443,45443,0,0,0,0,0,0,417100,217710592,96149504,30778416,1498320,2,0,0
2026-09-15T11:44:45.9623972Z,sustained,4801.5,45886,45886,0,0,0,0,0,1,415655,217731072,96227328,30712856,1498320,2,0,0
2026-09-15T11:45:45.9802354Z,sustained,4861.5,46334,46334,0,0,0,0,0,0,419899,217726976,96219136,30712856,1498320,2,0,0
2026-09-15T11:46:45.9915403Z,sustained,4921.5,46782,46782,0,0,0,0,0,0,417679,217759744,96268288,30712856,1498320,2,0,0
2026-09-15T11:47:46.0157068Z,sustained,4981.5,47230,47230,0,0,0,0,0,0,420010,217726976,96223232,33172816,1498320,3,0,0
2026-09-15T11:48:46.0375891Z,sustained,5041.5,47676,47676,0,0,0,0,0,0,415710,217698304,96182272,30712856,1498320,2,0,0
2026-09-15T11:49:46.0704951Z,sustained,5101.6,48123,48123,0,0,0,0,0,0,419406,217731072,96227328,32440888,1498320,2,0,0
2026-09-15T11:50:46.0812819Z,sustained,5161.6,48569,48569,0,0,0,0,0,0,415659,217821184,96362496,30712856,1498320,3,0,0
2026-09-15T11:51:46.0989655Z,sustained,5221.6,49015,49015,0,0,0,0,0,0,415997,217559040,96038912,30712856,1498320,2,0,0
2026-09-15T11:52:46.1118135Z,sustained,5281.6,49463,49463,0,0,0,0,0,0,417535,216641536,95137792,35534080,1498320,3,0,0
2026-09-15T11:53:46.1334237Z,sustained,5341.6,49912,49912,0,0,0,0,0,0,419175,213286912,91725824,30712856,1498320,3,1,0
2026-09-15T11:54:46.1489029Z,sustained,5401.7,50451,50450,0,0,0,0,0,1,502686,214470656,93024256,30712856,1498320,3,0,0
2026-09-15T11:55:46.1659930Z,sustained,5461.7,53994,53994,0,0,0,0,0,0,3250190,214183936,92610560,30712856,1498320,21,0,0
2026-09-15T11:56:46.1815117Z,sustained,5521.7,54442,54442,0,0,0,0,0,0,417856,214192128,92618752,30712856,1498320,4,0,0
2026-09-15T11:57:46.2042832Z,sustained,5581.7,54888,54888,0,0,0,0,0,0,420010,214134784,92577792,31761736,1498320,2,0,0
2026-09-15T11:58:46.2274249Z,sustained,5641.7,55336,55336,0,0,0,0,0,0,419650,214196224,92704768,30712856,1498320,2,0,0
2026-09-15T11:59:46.2366971Z,sustained,5701.7,55781,55781,0,0,0,0,0,0,419729,214843392,93409280,30712856,1498320,3,0,0
2026-09-15T12:00:46.2529092Z,sustained,5761.8,56229,56229,0,0,0,0,0,0,420407,216915968,95408128,30712856,1498320,1,0,0
2026-09-15T12:01:46.2662861Z,sustained,5821.8,56675,56675,0,0,0,0,0,1,419487,218415104,96935936,30712856,1498320,2,0,0
2026-09-15T12:02:46.2813630Z,sustained,5881.8,57123,57123,0,0,0,0,0,0,417152,218357760,96854016,31278392,1498320,2,0,0
2026-09-15T12:03:46.3054652Z,sustained,5941.8,57569,57569,0,0,0,0,0,0,419889,218697728,97239040,31443384,1498320,3,0,0
2026-09-15T12:04:46.3154555Z,sustained,6001.8,58017,58017,0,0,0,0,0,0,418895,218279936,96792576,31648304,1498320,2,0,0
2026-09-15T12:05:46.3333841Z,sustained,6061.8,58463,58463,0,0,0,0,0,0,415386,218034176,96567296,31795864,1498320,2,0,0
2026-09-15T12:06:46.3507563Z,sustained,6121.9,58907,58907,0,0,0,0,0,0,414771,217657344,96202752,31715400,1498320,3,0,0
2026-09-15T12:07:46.3670973Z,sustained,6181.9,59353,59353,0,0,0,0,0,0,415544,217341952,95870976,31780048,1498320,4,0,0
2026-09-15T12:08:46.3895045Z,sustained,6241.9,59801,59801,0,0,0,0,0,0,417166,217341952,95899648,31858624,1498320,4,0,0
2026-09-15T12:09:46.4134148Z,drain,6301.9,60234,60234,0,0,0,0,0,0,406140,217255936,95784960,33621576,1498320,3,0,0
2026-09-15T12:10:46.4293921Z,drain,6361.9,60234,60234,0,0,0,0,0,0,2911,217022464,95449088,33621576,1498320,0,0,0
2026-09-15T12:11:46.4482243Z,drain,6422.0,60234,60234,0,0,0,0,0,0,2718,216977408,95387648,33621576,1498320,0,0,0
2026-09-15T12:12:46.4606258Z,drain,6482.0,60234,60234,0,0,0,0,0,0,3166,216961024,95371264,33621576,1498320,0,0,0
2026-09-15T12:13:46.4834131Z,drain,6542.0,60234,60234,0,0,0,0,0,0,3167,216965120,95387648,33621576,1498320,0,0,0
2026-09-15T12:14:46.4955615Z,drain,6602.0,60234,60234,0,0,0,0,0,0,2896,216965120,95387648,33621576,1498320,0,0,0
2026-09-15T12:15:46.5073958Z,drain,6662.0,60234,60234,0,0,0,0,0,0,3060,216969216,95391744,33621576,1498320,0,0,0
2026-09-15T12:16:46.5302354Z,drain,6722.0,60234,60234,0,0,0,0,0,0,2661,216891392,95297536,33621576,1498320,0,0,0
2026-09-15T12:17:46.5462997Z,drain,6782.1,60234,60234,0,0,0,0,0,0,3606,216895488,95301632,31739240,1498320,1,0,0
2026-09-15T12:18:46.5623479Z,drain,6842.1,60234,60234,0,0,0,0,0,0,2826,216883200,95293440,31739240,1498320,0,0,0
2026-09-15T12:19:46.5714483Z,drain,6902.1,60234,60234,0,0,0,0,0,0,2854,216883200,95293440,31739240,1498320,0,0,0
2026-09-15T12:20:46.5898689Z,drain,6962.1,60234,60234,0,0,0,0,0,0,3167,222773248,101171200,31739240,1498320,0,0,0
2026-09-15T12:21:46.6070776Z,drain,7022.1,60234,60234,0,0,0,0,0,0,3053,215998464,94314496,31739240,1498320,0,0,0
2026-09-15T12:22:46.6230442Z,drain,7082.1,60234,60234,0,0,0,0,0,0,2855,216018944,94347264,31739240,1498320,0,0,0
2026-09-15T12:23:46.6381417Z,drain,7142.1,60234,60234,0,0,0,0,0,0,2827,216006656,94318592,31739240,1498320,0,0,0
2026-09-15T12:24:46.6468317Z,drain,7202.2,60234,60234,0,0,0,0,0,0,3125,217702400,95920128,31739240,1498320,0,0,0
